ID,FirstName,LastName,HasBoost,PersonalPoints,Action,Timestamp
1,Leon,de Kuijper,false,0,CREATE,2025-12-03T11:54:38.845360200Z

1,de,de,false,0,CREATE,2025-12-03T12:09:45.651412300Z
1,de,de,false,0,UPDATE,2025-12-03T12:09:58.254977600Z
1,de,defe,false,0,UPDATE,2025-12-03T12:09:58.255993500Z
2,de,fe,false,0,CREATE,2025-12-03T12:10:10.271245Z
1,de,de,false,0,CREATE,2025-12-03T12:11:26.763942700Z
1,de,de,false,0,UPDATE,2025-12-03T12:11:35.706912700Z
1,de,defe,false,0,UPDATE,2025-12-03T12:11:35.708913600Z
2,de,fe,false,0,CREATE,2025-12-03T12:11:54.147050800Z
3,de,de,false,0,CREATE,2025-12-03T12:12:13.754946500Z
